category,executor,text,theme
4,55,почему сделать нибыть настил скользящий мороз скользкий дождь пешеходный мост река трубеж тц метро премьер девушка каблук пройти велосипед колесо проворачиваться скользко бабушка обычный человек нога подкашиваться вызывать страх идти мост ненароком смотреть вниз здорово появиться мост продумать конец весь установка пешеходный поток увеличиться уверенный благодарный житель который ходить,137
18,65,год улица крупский поликлиника повесить знак парковка запретить работать эвакуатор ранее весь парковаться грязь вход поликлиника проезжий часть парковаться автомобиль грязно невозможно пройти тротуар прилегать дорога хотеться сделать парковка машина место парковка грязно пешеход который ходить место благодарный пешеход автомобилист,9
5,55,двигаться солотчинский шоссе сторона солотч указатель мозолить глаз сбивать водитель ванадльный иероглиф мешать удалить знак нарисовать давно,120
2,55,приезжать знакомый ул шевченко линия решить пожаловаться отсутствие освещение двор прилегать территория удивлённый наступить вечер уходить включить фонарик телефон видно очень мелкий аварийный ситуация автомобиль помогать включить фара особенно неудобно период конец лето осень зимой улица темнеть рано требоваться освещение густой растительность загораживать вечерний период луч солнце достаточно свести вырубать дерево нужно требоваться огромный просьба жильцов сделать уличный освещение фонарь улучшить обстановка ряд весь рязгма студент ходить центр город надеяться скорый положительный ответ,53
2,55,работать освещение ул магистральный напротив дом ул октябрьский фактически перекрёсток октябрьский магистральный освещаться метр ходить вечерний время невозможно очень страшно ряд перекрёсток человек часто перебегать дорога пешеходный переход оборудовать часто человек спотыкаться ям огромный просьба вернуть освещение единственный фонарь дорога очень очень хотеться узнать срок выполнение работа жилец сильно благодарный весь сделать ближний время,53
16,55,нужно установить знак остановка маршрутка троллейбус улица юбилейный напротив дом напротив дом московский шоссе,77
5,55,просьба повесить указатель табличка название мост первомайский проспект троицкий мост,120
5,55,метр мервинский проезд выдрать лежачий полицейский снегоуборочный машина начало год неисправность направление город московский въезд двор дом ул вишнёвый далее кор торчать большой штырь который мочь проколоть шина автомобиль,121
16,55,сделать заезд маршрутка остановка улица крупский конечный троллейбус маршрутка останавливаться пешеходный переход год нарушать пдд нужно делать круг останавливаться троллейбус маршрутка,77
4,55,год ул й мервинский й мервинский проезд спилить здоровый полусухой давать листва весь ветвь дерево считать необходимый компенсировать спилить дерево посадка новый иначе постоянно спиливать корень нечего дышать экология город пострадать особенно спальная район частный застройка понятно спиливать ради спасение линия электропередача случай повреждение лэп стоить немалый затрата список улица спилить дерево мервинский проезд дом мервинский проезд дом мервинский проезд дом мервинский дом место посадка предлагать организовать безопасный зона лэп проезд дом ул вишнёвый кор кор кор кор пристройка посадка некоторый погибнуть засохнуть необходимый посадить минимум дерево надеяться понимание природа никто позаботиться,79
5,55,работать секция таймер отсчёт автомобильный светофор перекрёсток улица западный крупский мервинский проезд,68
